v1	V(n004)
1.430000000000001e+000	2.432731e+000
1.440000000000001e+000	2.431946e+000
1.450000000000001e+000	2.431164e+000
1.460000000000001e+000	2.430384e+000
1.470000000000001e+000	2.429605e+000
1.480000000000001e+000	2.428829e+000
1.490000000000001e+000	2.428056e+000
1.500000000000001e+000	2.427284e+000
1.510000000000001e+000	2.426514e+000
1.520000000000001e+000	2.425746e+000
1.530000000000001e+000	2.424980e+000
1.540000000000001e+000	2.424216e+000
1.550000000000001e+000	2.423454e+000
1.560000000000001e+000	2.423273e+000
1.570000000000001e+000	2.423273e+000
1.580000000000001e+000	2.423273e+000
1.590000000000001e+000	2.423273e+000
1.600000000000001e+000	2.423273e+000
1.610000000000001e+000	2.423273e+000
1.620000000000001e+000	2.423273e+000
1.630000000000001e+000	2.423273e+000
1.640000000000001e+000	2.423273e+000
1.650000000000001e+000	2.423273e+000
1.660000000000001e+000	2.423273e+000
1.670000000000001e+000	2.423273e+000
1.680000000000001e+000	2.423273e+000
1.690000000000001e+000	2.423273e+000
1.700000000000001e+000	2.423273e+000
1.710000000000001e+000	2.423273e+000
1.720000000000001e+000	2.423273e+000
1.730000000000001e+000	2.423273e+000
1.740000000000001e+000	2.423273e+000
1.750000000000001e+000	2.423273e+000
1.760000000000001e+000	2.423273e+000
1.770000000000001e+000	2.423273e+000
1.780000000000001e+000	2.423273e+000
1.790000000000001e+000	2.423273e+000
1.800000000000001e+000	2.423273e+000
1.810000000000001e+000	2.423273e+000
1.820000000000001e+000	2.423273e+000
1.830000000000001e+000	2.423273e+000
1.840000000000001e+000	2.423273e+000
1.850000000000001e+000	2.423273e+000
1.860000000000001e+000	2.423273e+000
1.870000000000001e+000	2.423273e+000
1.880000000000001e+000	2.423273e+000
1.890000000000002e+000	2.423273e+000
1.900000000000002e+000	2.423273e+000
1.910000000000002e+000	2.423273e+000
1.920000000000002e+000	2.423273e+000
1.930000000000002e+000	2.423273e+000
1.940000000000002e+000	2.423273e+000
1.950000000000002e+000	2.423273e+000
1.960000000000002e+000	2.423273e+000
1.970000000000002e+000	2.423273e+000
1.980000000000002e+000	2.423273e+000
1.990000000000002e+000	2.423273e+000
2.000000000000001e+000	2.423273e+000
2.010000000000001e+000	2.423273e+000
2.020000000000001e+000	2.423273e+000
2.030000000000001e+000	2.423273e+000
2.040000000000001e+000	2.423273e+000
2.050000000000000e+000	2.423273e+000
2.060000000000000e+000	2.423273e+000
2.070000000000000e+000	2.423273e+000
2.080000000000000e+000	2.423273e+000
2.089999999999999e+000	2.423273e+000
2.099999999999999e+000	2.423273e+000
2.109999999999999e+000	2.423273e+000
2.119999999999999e+000	2.423273e+000
2.129999999999999e+000	2.423273e+000
2.139999999999998e+000	2.423273e+000
2.149999999999998e+000	2.423273e+000
2.159999999999998e+000	2.423273e+000
2.169999999999998e+000	2.423273e+000
2.179999999999998e+000	2.423273e+000
2.189999999999997e+000	2.423273e+000
2.199999999999997e+000	2.423273e+000
2.209999999999997e+000	2.423273e+000
2.219999999999997e+000	2.423273e+000
2.229999999999996e+000	2.423274e+000
2.239999999999996e+000	2.423537e+000
2.249999999999996e+000	2.426331e+000
2.259999999999996e+000	2.430618e+000
2.269999999999996e+000	2.434729e+000
2.279999999999995e+000	2.435025e+000
2.289999999999995e+000	2.435190e+000
2.299999999999995e+000	2.435354e+000
2.309999999999995e+000	2.435519e+000
2.319999999999995e+000	2.435684e+000
2.329999999999994e+000	2.435850e+000
2.339999999999994e+000	2.436015e+000
2.349999999999994e+000	2.436180e+000
2.359999999999994e+000	2.436346e+000
2.369999999999993e+000	2.436511e+000
2.379999999999993e+000	2.436677e+000
2.389999999999993e+000	2.436842e+000
2.399999999999993e+000	2.437008e+000
2.409999999999993e+000	2.437174e+000
2.419999999999992e+000	2.437340e+000
2.429999999999992e+000	2.437506e+000
2.439999999999992e+000	2.437672e+000
2.449999999999992e+000	2.437839e+000
2.459999999999992e+000	2.438005e+000
2.469999999999991e+000	2.438172e+000
2.479999999999991e+000	2.438338e+000
2.489999999999991e+000	2.438505e+000
2.499999999999991e+000	2.438672e+000
2.509999999999991e+000	2.438839e+000
2.519999999999990e+000	2.439006e+000
2.529999999999990e+000	2.439173e+000
2.539999999999990e+000	2.439340e+000
2.549999999999990e+000	2.439507e+000
2.559999999999989e+000	2.439675e+000
2.569999999999989e+000	2.439842e+000
2.579999999999989e+000	2.440010e+000
2.589999999999989e+000	2.440178e+000
2.599999999999989e+000	2.440346e+000
2.609999999999988e+000	2.440513e+000
2.619999999999988e+000	2.440681e+000
2.629999999999988e+000	2.440850e+000
2.639999999999988e+000	2.441018e+000
2.649999999999988e+000	2.441186e+000
2.659999999999987e+000	2.441355e+000
2.669999999999987e+000	2.441523e+000
2.679999999999987e+000	2.441692e+000
2.689999999999987e+000	2.441861e+000
2.699999999999986e+000	2.442029e+000
2.709999999999986e+000	2.442199e+000
2.719999999999986e+000	2.442368e+000
2.729999999999986e+000	2.442537e+000
2.739999999999986e+000	2.442706e+000
2.749999999999985e+000	2.442876e+000
2.759999999999985e+000	2.443045e+000
2.769999999999985e+000	2.443215e+000
2.779999999999985e+000	2.443385e+000
2.789999999999985e+000	2.443554e+000
2.799999999999984e+000	2.443724e+000
2.809999999999984e+000	2.443894e+000
2.819999999999984e+000	2.444065e+000
2.829999999999984e+000	2.444235e+000
2.839999999999983e+000	2.444405e+000
2.849999999999983e+000	2.444576e+000
2.859999999999983e+000	2.444747e+000
2.869999999999983e+000	2.444917e+000
2.879999999999983e+000	2.445088e+000
2.889999999999982e+000	2.445259e+000
2.899999999999982e+000	2.445430e+000
2.909999999999982e+000	2.445602e+000
2.919999999999982e+000	2.445773e+000
2.929999999999982e+000	2.445944e+000
2.939999999999981e+000	2.446116e+000
2.949999999999981e+000	2.446288e+000
2.959999999999981e+000	2.446460e+000
2.969999999999981e+000	2.446631e+000
2.979999999999980e+000	2.446803e+000
2.989999999999980e+000	2.446975e+000
2.999999999999980e+000	2.447148e+000
3.009999999999980e+000	2.447320e+000
3.019999999999980e+000	2.447493e+000
3.029999999999979e+000	2.447665e+000
3.039999999999979e+000	2.447838e+000
