Optical Power Monitor 3.1.3778.562

Power Meter,PM100USB
Power Meter SN,1908005
Sensor,S130VC
Sensor SN,200710110
Sensor Type,Photodiode
Wavelength,640 nm
Range,Auto

Start of Measurement,11/11/2021 12:31:42
Elapsed Time,00:03:04:999
Samples,61381

--Statistics--
Minimum [W],1.9326E-05
Maximum [W],0.00052581
Mean [W],0.00016518
Standard Deviation [W],0.00015673
Ratio,27.207 : 1

--Graph Data--
Time (ms),Power (W)
1936.616,0.00039784
1939.628,0.00032273
1942.638,0.0002654
1945.614,0.00022025
1948.597,0.00018309
1951.627,0.00015282
1954.596,0.00012837
1957.620,0.00010909
1960.594,9.3545E-05
1963.599,8.0909E-05
1966.596,7.0564E-05
1969.594,6.1967E-05
1972.597,5.4893E-05
1975.604,4.912E-05
1978.604,4.4264E-05
1981.584,4.0275E-05
1984.576,3.6992E-05
1987.610,3.4279E-05
1990.602,3.2012E-05
1993.600,3.0153E-05
1996.600,2.8605E-05
1999.588,2.7267E-05
2002.631,2.6226E-05
2005.608,2.5421E-05
2008.607,2.4703E-05
2011.686,0.00011691
2014.935,0.00022463
2017.926,0.0002998
2020.928,0.00035918
2023.931,0.00040726
2026.931,0.0004465
2029.929,0.00047866
2032.930,0.00050509
2035.934,0.0004264
2038.941,0.00034332
2041.928,0.00028094
2044.996,0.00023239
2048.213,0.0001891
2051.210,0.00015757
2054.219,0.0001322
2057.270,0.00011205
2060.213,9.5936E-05
2063.245,8.2841E-05
2066.230,7.2138E-05
2069.266,6.3218E-05
2072.232,5.5859E-05
2075.236,4.9888E-05
2078.250,4.4859E-05
2081.231,4.0746E-05
2084.230,3.7364E-05
2087.237,3.4589E-05
2090.230,3.2198E-05
2093.231,3.0302E-05
2096.230,2.8729E-05
2099.229,2.7391E-05
2102.234,2.6301E-05
2105.207,2.5433E-05
2108.230,2.4703E-05
2111.238,7.3785E-05
2114.230,0.00018154
2117.230,0.00026621
2120.232,0.00033237
2123.204,0.00038543
2126.230,0.00042874
2129.230,0.00046407
2132.230,0.00049307
2135.215,0.00051691
2138.205,0.00045882
2141.205,0.00036754
2144.230,0.00029982
2147.205,0.00024758
2150.204,0.00020571
2153.231,0.00017129
2156.230,0.0001434
2159.238,0.00012095
2162.263,0.00010317
2165.210,8.88E-05
2168.204,7.6994E-05
2171.230,6.7244E-05
2174.206,5.9266E-05
2177.204,5.2626E-05
2180.204,4.7138E-05
2183.216,4.2629E-05
2186.230,3.8949E-05
2189.204,3.5815E-05
2192.247,3.3251E-05
2195.205,3.1194E-05
2198.204,2.9435E-05
2201.204,2.7961E-05
2204.208,2.6821E-05
2207.211,2.5842E-05
2210.203,2.4987E-05
2213.206,3.8206E-05
2216.203,0.00015577
2219.203,0.00024577
2222.206,0.00031621
2225.203,0.00037235
2228.235,0.00041801
2231.538,0.00045904
2234.525,0.00048898
2237.529,0.00049778
2240.501,0.00039375
2243.500,0.0003192
2246.529,0.00026239
2249.528,0.00021753
2252.532,0.00018082
2255.533,0.00015103
2258.531,0.00012704
2261.591,0.00010797
2264.532,9.2665E-05
2267.559,8.0153E-05
2270.532,6.9796E-05
2273.533,6.136E-05
2276.535,5.4385E-05
2279.538,4.855E-05
2282.558,4.3805E-05
2285.526,3.9878E-05
2288.528,3.6571E-05
2291.531,3.387E-05
2294.560,3.1714E-05
2297.567,2.9881E-05
2300.555,2.8332E-05
2303.553,2.7081E-05
2306.551,2.6065E-05
2309.544,2.5173E-05
2312.530,2.4467E-05
2315.573,0.00010572
2318.526,0.00020604
2321.554,0.00028527
2324.543,0.00034748
2327.549,0.00039773
2330.538,0.00043874
2333.541,0.0004723
2336.547,0.00049989
2339.545,0.00044798
2342.541,0.00035902
2345.554,0.00029295
2348.543,0.00024185
2351.565,0.00020088
2354.544,0.00016722
2357.553,0.00014005
2360.551,0.00011832
2363.576,0.00010105
2366.542,8.7016E-05
2369.554,7.5483E-05
2372.548,6.5993E-05
2375.865,5.7445E-05
2378.910,5.1053E-05
2381.868,4.5837E-05
2384.866,4.1576E-05
2387.863,3.7971E-05
2390.867,3.5059E-05
2393.865,3.2606E-05
2396.864,3.0674E-05
2399.865,2.8964E-05
2402.868,2.7577E-05
2405.857,2.6486E-05
2408.862,2.5495E-05
2411.870,2.4727E-05
2414.868,4.689E-05
2417.870,0.00016185
2420.873,0.00025057
2423.867,0.00031992
2426.873,0.00037534
2429.865,0.00042045
2432.867,0.00045731
2435.870,0.0004875
2438.870,0.00051241
2441.867,0.0004812
2444.873,0.00038361
2448.206,0.00030515
2451.209,0.00025171
2454.205,0.00020915
2457.208,0.00017419
2460.207,0.00014576
2463.188,0.00012293
2466.231,0.00010481
2469.179,9.0076E-05
2472.206,7.7998E-05
2475.207,6.8174E-05
2478.161,6.001E-05
2481.206,5.3221E-05
2484.205,4.7671E-05
2487.184,4.3075E-05
2490.206,3.9209E-05
2493.205,3.6075E-05
2496.214,3.3511E-05
